ano_comp;uf;adm_des;ibge_subsetor;saldo_mov
2009;17;2;13;-4188
2009;27;1;15;15198
2009;32;2;10;-2275
2009;12;2;12;-2
2009;28;2;1;-192
2009;16;1;11;70
2009;42;2;2;-13690
2009;21;2;8;-431
2009;50;1;8;1628
2009;23;2;23;-8278
2009;12;2;18;-39
2009;24;2;17;-5476
2009;41;2;20;-46762
2009;33;1;8;8329
2009;43;2;24;-3141
2009;21;1;13;4554
2009;42;2;12;-5842
2009;50;2;13;-27252
2009;12;2;2;-303
2009;33;2;13;-36128
2009;29;2;20;-20078
2009;17;2;5;-22
2009;42;2;18;-2051
2009;17;1;8;138
2009;14;2;21;-1382
2009;53;2;23;-10398
2009;32;1;3;10008
2009;16;2;23;-952
2009;28;2;3;-716
2009;17;1;6;56
2009;15;1;2;3518
2009;21;1;19;9858
2009;50;2;19;-19013
2009;23;1;11;24036
2009;33;2;19;-231086
2009;41;2;2;-10571
2009;24;1;16;33945
2009;29;2;12;-8762
2009;23;2;7;-2114
2009;29;2;18;-1241
2009;25;1;21;12637
2009;42;2;20;-31663
2009;41;2;12;-1452
2009;17;2;19;-3223
2009;43;2;15;-81605
2009;29;2;2;-4836
2009;53;1;11;551
2009;33;1;6;11010
2009;21;2;6;-149
2009;12;2;20;-872
2009;32;1;1;2380
2009;41;2;18;-4366
2009;50;1;6;222
2009;24;1;4;369
2009;26;1;21;45092
2009;28;1;10;848
2009;52;2;24;-655
2009;15;1;18;1177
2009;28;2;14;-203
2009;32;1;22;10674
2009;27;1;24;38
2009;24;2;25;-11425
2009;15;1;12;74
2009;35;2;24;-49340
2009;53;2;7;-909
2009;23;1;12;25637
2009;32;1;4;6566
2009;11;1;8;334
2009;24;1;22;3431
2009;13;1;13;5876
2009;28;2;9;-192
2009;32;2;25;-39536
2009;51;1;6;292
2009;12;1;23;438
2009;22;1;13;5366
2009;25;1;15;18184
2009;23;1;18;991
2009;29;1;7;3031
2009;28;1;17;2742
2009;53;1;2;1061
2009;31;2;19;-211999
2009;29;2;11;-8545
2009;14;2;24;-16
2009;11;2;5;-28
2009;24;1;1;1570
2009;15;2;7;-12144
2009;16;1;20;903
2009;26;1;15;68570
2009;32;1;16;76934
2009;53;1;12;65
2009;53;1;18;2094
2009;13;1;5;11424
